Name,RetailPrice,DealerCost,EngineSize,Cyl,HP,CityMPG,HwyMPG,Weight,WheelBase,Len,Width,Id
Scion xA 4dr hatch,12965,12340,1.5,4,108,32,38,2340,93,154,67,317
Scion xB,14165,13480,1.5,4,108,31,35,2425,98,155,67,318
Subaru Forester X,21445,19646,2.5,4,165,21,28,3090,99,175,68,319
Subaru Impreza 2.5 RS 4dr,19945,18399,2.5,4,165,22,28,2965,99,174,69,320
Subaru Impreza WRX 4dr,25045,23022,2,4,227,20,27,3085,99,174,69,321
Subaru Impreza WRX STi 4dr,31545,29130,2.5,4,300,18,24,3263,100,174,69,322
Subaru Legacy GT 4dr,25645,23336,2.5,4,165,21,28,3395,104,184,69,323
Subaru Legacy L 4dr,20445,18713,2.5,4,165,21,28,3285,104,184,69,324
Subaru Outback,23895,21773,2.5,4,165,21,28,3430,104,187,69,325
Subaru Outback H6 4dr,29345,26660,3,6,212,19,26,3610,104,184,69,326
Subaru Outback H-6 VDC 4dr,31545,28603,3,6,212,19,26,3630,104,184,69,327
Subaru Outback Limited Sedan 4dr,27145,24687,2.5,4,165,20,27,3495,104,184,69,328
Suzuki Aeno S 4dr,12884,12719,2.3,4,155,25,31,2676,98,171,68,329
Suzuki Aerio LX 4dr,14500,14317,2.3,4,155,25,31,2676,98,171,68,330
Suzuki Aerio SX,16497,16291,2.3,4,155,24,29,2932,98,167,68,331
Suzuki Forenza EX 4dr,15568,15378,2,4,119,22,30,2756,102,177,68,332
Suzuki Forenza S 4dr,12269,12116,2,4,119,24,31,2701,102,177,68,333
Suzuki Verona LX 4dr,17262,17053,2.5,6,155,20,27,3380,106,188,72,334
Suzuki Vitara LX,17163,16949,2.5,6,165,19,22,3020,98,163,67,335
Suzuki XL-7 EX,23699,22307,2.7,6,185,18,22,3682,110,187,70,336
Toyota 4Runner SR5 V6,27710,24801,4,6,245,18,21,4035,110,189,74,337
Toyota Avalon XL 4dr,26560,23693,3,6,210,21,29,3417,107,192,72,338
Toyota Avalon XLS 4dr,30920,27271,3,6,210,21,29,3439,107,192,72,339
Toyota Camry LE 4dr,19560,17558,2.4,4,157,24,33,3086,107,189,71,340
Toyota Camry LE V6 4dr,22775,20325,3,6,210,21,29,3296,107,189,71,341
Toyota Camry Solara SE 2dr,19635,17722,2.4,4,157,24,33,3175,107,193,72,342
Toyota Camry Solara SE V6 2dr,21965,19819,3.3,6,225,20,29,3417,107,193,72,343
Toyota Camry Solara SLE V6 2dr,26510,23908,3.3,6,225,20,29,3439,107,193,72,344
Toyota Camry XLE V6 4dr,25920,23125,3,6,210,21,29,3362,107,189,71,345
Toyota Celica GT-S 2dr,22570,20363,1.8,4,180,24,33,2500,102,171,68,346
Toyota Corolla CE 4dr,14085,13065,1.8,4,130,32,40,2502,102,178,67,347
Toyota Corolla LE 4dr,15295,13889,1.8,4,130,32,40,2524,102,178,67,348
Toyota Corolla S 4dr,15030,13650,1.8,4,130,32,40,2524,102,178,67,349
Toyota Echo 2dr auto,11560,10896,1.5,4,108,33,39,2085,93,163,65,350
Toyota Echo 2dr manual,10760,10144,1.5,4,108,35,43,2035,93,163,65,351
Toyota Echo 4dr,11290,10642,1.5,4,108,35,43,2055,93,163,65,352
Toyota Highlander V6,27930,24915,3.3,6,230,18,24,3935,107,185,72,353
Toyota Land Cruiser,54765,47986,4.7,8,325,13,17,5390,112,193,76,354
Toyota Matrix XR,16695,15156,1.8,4,130,29,36,2679,102,171,70,355
Toyota MR2 Spyder convertible 2dr,25130,22787,1.8,4,138,26,32,2195,97,153,67,356
Toyota Prius 4dr (gas/electric),20510,18926,1.5,4,110,59,51,2890,106,175,68,357
Toyota RAV4,20290,18553,2.4,4,161,22,27,3119,98,167,68,358
Toyota Sequoia SR5,35695,31827,4.7,8,240,14,17,5270,118,204,78,359
Toyota Sienna CE,23495,21198,3.3,6,230,19,27,4120,119,200,77,360
Toyota Sienna XLE Limited,28800,25690,3.3,6,230,19,27,4165,119,200,77,361
Volkswagen Golf GLS 4dr,18715,17478,2,4,115,24,31,2897,99,165,68,362
Volkswagen GTI 1.8T 2dr hatch,19825,18109,1.8,4,180,24,31,2934,99,168,68,363
Volkswagen Jetta GL,19005,17427,2,4,115,24,30,3034,99,174,68,364
Volkswagen Jetta GLI VR6 4dr,23785,21686,2.8,6,200,21,30,3179,99,172,68,365
Volkswagen Jetta GLS TDI 4dr,21055,19638,1.9,4,100,38,46,3003,99,172,68,366
Volkswagen New Beetle GLS 1.8T 2dr,21055,19638,1.8,4,150,24,31,2820,99,161,68,367
Volkswagen New Beetle GLS convertible 2dr,23215,21689,2,4,115,24,30,3082,99,161,68,368
Volkswagen Passat GLS 1.8T,24955,22801,1.8,4,170,22,31,3338,106,184,69,369
Volkswagen Passat GLS 4dr,23955,21898,1.8,4,170,22,31,3241,106,185,69,370
Volkswagen Passat GLX V6 4MOTION 4dr,33180,30583,2.8,6,190,19,26,3721,106,185,69,371
Volkswagen Passat W8,40235,36956,4,8,270,18,25,4067,106,184,69,372
Volkswagen Passat W8 4MOTION 4dr,39235,36052,4,8,270,18,25,3953,106,185,69,373
Land Rover Range Rover HSE,72250,65807,4.4,8,282,12,16,5379,113,195,76,374
Volkswagen Touareg V6,35515,32243,3.2,6,220,15,20,5086,112,187,76,375
Volvo C70 HPT convertible 2dr,42565,40083,2.3,5,242,20,26,3450,105,186,72,376
Volvo C70 LPT convertible 2dr,40565,38203,2.4,5,197,21,28,3450,105,186,72,377
Volvo S40 4dr,25135,23701,1.9,4,170,22,29,2767,101,178,68,378
Volvo S60 2.5 4dr,31745,29916,2.5,5,208,20,27,3903,107,180,71,379
Volvo S60 R 4dr,37560,35382,2.5,5,300,18,25,3571,107,181,71,380
Volvo S60 T5 4dr,34845,32902,2.3,5,247,20,28,3766,107,180,71,381
Volvo S80 2.5T 4dr,37885,35688,2.5,5,194,20,27,3691,110,190,72,382
Volvo S80 2.9 4dr,37730,35542,2.9,6,208,20,28,3576,110,190,72,383
Volvo S80 T6 4dr,45210,42573,2.9,6,268,19,26,3653,110,190,72,384
Volvo V40,26135,24641,1.9,4,170,22,29,2822,101,180,68,385
Volvo XC70,35145,33112,2.5,5,208,20,27,3823,109,186,73,386
Volvo XC90 T6,41250,38851,2.9,6,268,15,20,4638,113,189,75,387
